84,26
76,61
46,70
73,12
467,79
17,75
91,84
375,30
162,00
196,58
236,36
75,78
64,10
167,39
241,88
307,48
192,76
28,24
176,58
232,15
242,36
287,30
23,00
74,47
123,09
190,60
39,04
471,18
115,98
171,09
67,54
69,75
68,39
21,64
106,81
88,38
92,85
55,44
92,01
9,76
405,47
230,77
87,86
70,82
391,51
272,69
301,41
82,20
180,34
102,65
120,87
373,55
11,47
159,32
75,43
38,31
10,75
103,48
126,44
82,76
12,31
121,77
164,15
169,08
202,75
263,79
52,04
237,44
162,15
184,27
202,48
123,25
182,58
99,86
76,52
134,07
191,58
153,87
160,76
239,18
431,07
146,57
303,08
138,21
30,86
124,31
312,76
127,77
139,10
210,22
137,01
210,37
32,37
242,13
137,69
244,52
168,53
222,39
111,01
126,34
30,91
37,45
173,66
117,73
103,93
175,50
120,69
229,04
130,13
39,29
77,13
55,65
66,40
69,98
40,80
197,40
118,04
131,71
94,17
160,48
113,96
113,09
192,74
68,43
297,24
79,35
148,54
123,26
199,40
82,45
81,29
118,25
42,07
199,69
90,60
72,03
111,03
150,33
66,36
251,65
82,44
242,71
221,42
124,80
73,53
145,54
202,11
73,86
155,77
280,71
148,57
112,98
171,95
81,68
53,39
516,80
255,09
85,93
88,10
242,58
137,63
140,51
152,53
165,33
158,05
448,01
51,62
147,36
89,07
71,09
27,21
138,45
93,01
31,44
108,02
61,65
364,20
100,52
397,09
111,01
97,29
124,77
121,02
121,36
193,23
128,91
33,73
94,39
80,48
14,80
403,72
125,74
100,99
304,45
139,47
41,95
76,73
66,36
126,30
129,85
603,47
86,94
153,63
281,58
69,79
149,16
104,84
146,15
72,23
156,82
101,04
308,24
251,29
53,74
459,71
219,01
95,43
60,59
53,66
64,63
249,45
77,88
109,53
57,62
158,58
242,70
142,84
203,49
64,56
72,00
307,68
218,88
106,17
47,68
78,13
187,76
67,79
186,81
97,81
247,17
63,68
77,90
226,36
171,21
85,89
224,19
222,53
32,55
141,22
285,96
69,55
111,95
271,75
292,77
108,38
140,11
27,03
174,05
127,31
135,56
136,24
60,95
249,52
154,06
121,96
101,44
130,09
108,17
136,53
152,14
258,78
101,41
174,63
204,23
205,91
157,12
148,65
135,82
43,59
46,49
243,64
191,81
159,32
89,15
119,80
21,92
84,26
72,20
102,43
72,58
69,99
31,19
75,24
215,43
122,30
152,71
73,29
252,09
267,17
135,54
